timestamp,Building A,Building B,Building C,Building G,Building R,Building YG,
2018-08-04T19:00:00,NULL,7.664155575,NULL,10.5195015,74.55506053,0.007189685,
2018-08-04T20:00:00,NULL,7.495191022,NULL,1.760545971,61.45290804,0.006987021,
2018-08-04T21:00:00,NULL,7.621488465,NULL,3.323336046,26.48009588,0.007146231,
2018-08-04T22:00:00,NULL,7.468099754,NULL,3.295037762,3.971050514,0.007084843,
2018-08-04T23:00:00,NULL,7.403837679,NULL,3.240862351,6.647880742,0.007093991,
2018-08-05T00:00:00,NULL,5.564453899,NULL,1.436906435,5.331070265,0.004675643,
2018-08-05T01:00:00,NULL,5.345196792,NULL,1.16586536,3.361786609,0.004365222,
2018-08-05T02:00:00,NULL,7.045900523,NULL,2.955335586,4.011378389,0.006752376,
2018-08-05T03:00:00,NULL,7.342141178,NULL,3.287400191,4.420022359,0.007218639,
2018-08-05T04:00:00,NULL,7.266000797,NULL,3.237250938,4.082160965,0.007112176,
2018-08-05T05:00:00,NULL,7.34745489,NULL,3.273990562,4.005539378,0.007211887,
2018-08-05T06:00:00,NULL,5.861070719,NULL,1.350673046,8.152233924,0.002910563,
2018-08-05T07:00:00,NULL,5.839692055,NULL,1.037882204,4.852127015,0.002225164,
2018-08-05T08:00:00,NULL,7.21406718,NULL,2.917126344,5.958932933,0.006325708,
2018-08-05T09:00:00,NULL,7.621529196,NULL,3.488762371,4.415779203,0.007117489,
2018-08-05T10:00:00,NULL,5.908082114,NULL,3.273977861,6.431653017,0.007199078,
2018-08-05T11:00:00,NULL,5.894098571,NULL,7.943994823,4.735094552,0.007307954,
2018-08-05T12:00:00,NULL,7.950775666,NULL,14.76103767,11.29039269,0.007218387,
2018-08-05T13:00:00,NULL,8.371245966,NULL,12.60387793,6.57658649,0.007352597,
2018-08-05T14:00:00,NULL,7.272031555,NULL,6.954624604,4.254315282,0.006578128,
2018-08-05T15:00:00,NULL,8.28589718,NULL,5.405506414,4.768893637,0.007305524,
2018-08-05T16:00:00,NULL,7.709410026,NULL,1.600095082,8.698710573,0.007173554,
2018-08-05T17:00:00,NULL,7.713707222,NULL,1.440457104,11.49504618,0.007238184,
2018-08-05T18:00:00,NULL,5.734323327,NULL,1.221818054,9.069138145,0.006949915,
2018-08-05T19:00:00,NULL,5.374795595,NULL,1.51017,8.802183141,0.00723531,
2018-08-05T20:00:00,NULL,7.121145765,NULL,3.464005558,9.98399564,0.007114653,
2018-08-05T21:00:00,NULL,7.48909906,NULL,3.602408042,9.959864156,0.007207369,
2018-08-05T22:00:00,NULL,7.367576541,NULL,3.542302938,9.860608353,0.007243225,
2018-08-05T23:00:00,NULL,7.436084216,NULL,3.591422834,5.357293767,0.007272482,
2018-08-06T00:00:00,NULL,7.27366679,NULL,3.534501286,4.510345228,0.007208377,
2018-08-06T01:00:00,NULL,7.373811235,NULL,3.563887092,4.647096986,0.00727444,
